كثيرا	k a θ iː r aː
تساوى	t a s aː w aː
شاط	ʃ aː tˤ a
مغلق	m i ɣ l a q
سلسل	s a l s a l a
كلوتة	k a l l a w t a
حيران	ħ a j r aː n
أصغى	ʔ a sˤ ɣ aː
أهلي	ʔ a h l i j j
نخشوش	n a x ʃ uː ʃ
أعاصير	ʔ a ʕ aː sˤ iː r
أفرط	ʔ a f r a tˤ a
قرن	q a r a n a
طلعة	tˤ a l ʕ a
خرس	x a r a s a
أصلع	ʔ a sˤ l a ʕ
خسأ	x a s a ʔ a
إلى	ʔ i l aː
مكمل	m u k a m m a l
حديد	ħ a d iː d
مستفرغ	m u s t a f r a ɣ
عنبروت	ʕ a n b a r uː t
تراوح	t a r aː w a ħ a
دحرج	d a ħ r a d͡ʒ a
مبرة	m a b a r r a
اغتنم	i ɣ t a n a m a
بسفايج	b a s f aː j a d͡ʒ
نيوزيلاندا	n i j uː z iː l aː n d aː
إبادة	ʔ i b aː d a
مهرة	m u h r a
أمضى	ʔ a m dˤ aː
مجن	m i d͡ʒ a n n
لحاق	l a ħ aː q
تفاوض	t a f aː w a dˤ a
أدهش	ʔ a d h a ʃ a
اقتسم	i q t a s a m a
قاليقالا	q aː l iː q aː l aː
ركلة	r a k l a
إنما	ʔ i n n a m aː
سفينة	s a f iː n a
دجلة	d i d͡ʒ l a
كثافة	k a θ aː f a
بادية	b aː d i j a
سجنجل	s a d͡ʒ a n d͡ʒ a l
منبه	m u n a b b i h
بارد	b aː r i d
متجر	m a t d͡ʒ a r
أجل	ʔ a d͡ʒ a l
لاحم	l aː ħ i m
جوذاب	d͡ʒ uː ð aː b
زفر	z a f a r a
طاقم	tˤ aː q a m
أسترالي	ʔ u s t u r aː l i j j
شظية	ʃ a ðˤ i j j a
أباسخيرون	ʔ a b aː s x iː r uː n
عادات	ʕ aː d aː t
مؤنث	m u ʔ a n n a θ
فيثاغورس	f iː θ aː ɣ uː r a s
دونمة	d uː n m a
عربز	ʕ a r b a z
كوسا	k uː s aː
قادوس	q aː d uː s
لعبة	l a ʕ b a
أسبوع	ʔ u s b uː ʕ
قفلوط	q a f a l uː tˤ
أعل	ʔ a ʕ a l l a
ساط	s aː tˤ a
ذال	ð aː l
الوداع	a l w a d aː ʕ
لبنان	l u b n aː n
طريق	tˤ a r iː q
صهيوني	sˤ a h j uː n i j j
اكتنف	i k t a n a f a
لهي	l a h i j a
تخلص	t a x a l l a sˤ a
جشاء	d͡ʒ u ʃ aː ʔ
مطاف	m a tˤ aː f
صحافة	sˤ a ħ aː f a
أنفحة	ʔ a n f i ħ a
مكان	m a k aː n
هذه	h aː ð i h
أوج	ʔ a w d͡ʒ
يابس	j aː b i s
رضيع	r a dˤ iː ʕ
شاورما	ʃ aː w a r m aː
شاهد	ʃ aː h a d a
مقود	m i q w a d
متزوج	m u t a z a w w i d͡ʒ
أناغلس	ʔ a n aː ɣ a l i s
توارى	t a w aː r aː
جميز	d͡ʒ u m m a j z
آشوري	ʔ aː ʃ uː r i j j
إجبار	ʔ i d͡ʒ b aː r
حماس	ħ a m aː s
راكب	r aː k i b
مستقبلي	m u s t a q b a l i j j
سنونو	s u n uː n uː
حرير	ħ a r iː r
بعث	b a ʕ a θ a
النرويج	a n n u r w iː d͡ʒ
سمويل	s a m a w iː l
كعبة	k a ʕ b a
انسجام	i n s i d͡ʒ aː m
ليلي	l a j l i j j
ناصور	n aː sˤ uː r
عنى	ʕ a n aː
تداعى	t a d aː ʕ aː
أنتم	ʔ a n t u m
شيردال	ʃ iː r d aː l
مرأة	m a r ʔ a
تبرير	t a b r iː r
تناسق	t a n aː s u q
ساوم	s aː w a m a
جور	d͡ʒ a w r
شارع	ʃ aː r i ʕ
معيار	m i ʕ j aː r
أباخس	ʔ a b aː x i s u
يلب	j a l a b
عظيم	ʕ a ðˤ iː m
مخطئ	m u x tˤ i ʔ
تاوريرت	t aː w r iː r t
جانرك	d͡ʒ aː n a r i k
بغتة	b a ɣ t a
نواكشوط	n a w aː k ʃ uː tˤ
حاجة	ħ aː d͡ʒ a
أميرة	ʔ a m iː r a
فضول	f dˤ uː l
استجار	i s t a d͡ʒ aː r a
الصويرة	a sˤ sˤ a w iː r a
عفريت	ʕ a f r iː t
كفاح	k i f aː ħ
إغناطيوس	ʔ i ɣ n aː tˤ i j uː s
حجن	ħ a d͡ʒ a n a
منيرة	m u n iː r a
ملموم	m a l m uː m
مأدبة	m a ʔ d u b a
صفن	sˤ a f a n
خالف	x aː l a f a
مردي	m u r d i j j
بامية	b aː m i j a
ركيزة	r a k iː z a
هنغاري	h a n ɣ aː r i j j
منور	m a n w a r
بخص	b a x a sˤ
جمان	d͡ʒ u m aː n
منهج	m a n h a d͡ʒ
خوي	x a w i j a
شماس	ʃ a m m aː s
ذبابة	ð u b aː b a
ديس	d iː s
قشمير	q i ʃ m iː r
اعتلى	i ʕ t a l aː
جمانة	d͡ʒ u m aː n a
ليل	l a j l
خور	x a w r
رئاسي	r i ʔ aː s i j j
نعناع	n a ʕ n aː ʕ
متصل	m u t t a sˤ i l
تغريدة	t a ɣ r iː d a
فور	f a w r
رعراع	r a ʕ r aː ʕ
دارويني	d aː r w iː n i j j
بربير	b a r b iː r
أنواط	ʔ a n w aː tˤ
صورة	sˤ uː r a
أنوق	ʔ a n uː q
خرشوف	x u r ʃ uː f
تزامن	t a z aː m a n a
جوهري	d͡ʒ a w h a r i j j
نون	n a w w a n a
خصية	x i sˤ j a
شمبانيا	ʃ a m b aː n j aː
سمن	s a m i n a
بيع	b a j ʕ
أرضي	ʔ a r dˤ i j j
أجنبي	ʔ a d͡ʒ n a b i j j
تايوان	t aː j w aː n
عطر	ʕ a tˤ i r
زنباع	z a n b aː ʕ
هرول	h a r w a l
عبودية	ʕ u b uː d i j j a
أعض	ʔ a ʕ a dˤ dˤ a
قرصعنة	q a r sˤ a ʕ a n n a
حاذق	ħ aː ð i q
الصين	a sˤ sˤ iː n
فاثور	f aː θ uː r
قناع	q i n aː ʕ
صحا	sˤ a ħ aː
ناخوذاة	n aː x uː ð aː h
مثلث	m u θ a l l a θ
سكة	s i k k a
أوقية	ʔ uː q i j j a
فحشاء	f a ħ ʃ aː ʔ
دردق	d a r d a q
صمام	sˤ i m aː m
عنوسة	ʕ u n uː s a
تراخوما	t a r aː x uː m aː
ثوب	θ a w b
موقد	m a w q i d
تخت	t a x t
سبتمبر	s a b t a m b a r
تسلم	t a s a l l a m a
آنسة	ʔ aː n i s a
إريس	ʔ i r r iː s
يهوه	j a h w a h
كربون	k a r b uː n
قصاب	q a sˤ sˤ aː b
منار	m a n aː r
إهداء	ʔ i h d aː ʔ
إيران	ʔ iː r aː n
ناعور	n aː ʕ uː r
رابطة	r aː b i tˤ a
عبادة	ʕ i b aː d a
عنصر	ʕ u n sˤ u r
تناوم	t a n aː w a m a
حنجري	ħ a n d͡ʒ a r i j j
قستوس	q i s t uː s
كثيب	k a θ iː b
زربطانة	z a r b a tˤ aː n a
لاط	l aː tˤ a
سلا	s a l aː
معهد	m a ʕ h a d
بحيرة	b u ħ a j r a
غالب	ɣ aː l i b
نظر	n a ðˤ a r
شلة	ʃ a l l a
هوادة	h a w aː d a
باريس	b aː r iː s
تشبث	t a ʃ a b b a θ a
رؤوس	r u ʔ uː s
بسمة	b a s m a
رابط	r aː b i tˤ
عظمى	ʕ u ðˤ m aː
قاوون	q aː w uː n
ركع	r a k a ʕ a
انبث	i n b a θ θ a
زاوية	z aː w i j a
بندر	b a n d a r
ترياق	t i r j aː q
تكفيري	t a k f iː r i j j
طشقند	tˤ a ʃ q a n d
ملاحقة	m u l aː ħ a q a
مفوف	m u f a w w a f
فاقة	f aː q a
غدير	ɣ a d iː r
أهيف	ʔ a h j a f
اللات	a l l aː t
خزينة	x a z iː n a
تدريب	t a d r iː b
ركن	r u k n
أدان	ʔ a d aː n a
رصع	r a sˤ sˤ a ʕ a
جنطيانا	d͡ʒ a n tˤ i j aː n aː
مغلوب	m a ɣ l uː b
مدرسة	m a d r a s a
بذرقطونا	b a ð a r q a tˤ uː n aː
شمات	ʃ a m aː t
حذار	ħ a ð aː r i
وديعة	w a d iː ʕ a
إصبع	ʔ i sˤ b a ʕ
وعدة	w a ʕ d a
فيجن	f a j d͡ʒ a n
مرقد	m a r q a d
هزيل	h a z iː l
غامق	ɣ aː m i q
إسحاق	ʔ i s ħ aː q
شهادة	ʃ a h aː d a
عدمية	ʕ a d a m i j j a
أجيال	ʔ a d͡ʒ j aː l
سويسري	s u w iː s r i j j
تاريخ	t aː r iː x
خربش	x a r b a ʃ a
أسفر	ʔ a s f a r a
شهدانق	ʃ a h d aː n a q
رسغ	r u s ɣ
جاذبية	d͡ʒ aː ð i b i j j a
حصرم	ħ a sˤ r a m
دعوة	d a ʕ w a
فدان	f a d d aː n
تعصر	t a ʕ a sˤ sˤ a r a
صوة	sˤ u w w a
تدليك	t a d l iː k
