líon	lʲ iː n̪ˠ
fréimh	fʲ rʲ eː vʲ
critheann	ˈc rʲ ɪ h ə n̪ˠ
smailte	ˈsˠ mˠ æ l̠ʲ tʲ ə
oil	ɛ lʲ
béasach	ˈbʲ iː a̯ sˠ ə x
deargfaidh	ˈdʲ a ɾˠ ə k ə
d'fhill	dʲ iː lʲ
teampall	ˈtʲ ɑ u mˠ pˠ ə l̪ˠ
mórtas	ˈmˠ oː ɾˠ t̪ˠ ə sˠ
peitreal	ˈpʲ ɛ tʲ ɾʲ ə lˠ
cluas	k lˠ u ə sˠ
Í	iː
bronn	bˠ ɾˠ oː n
anlann	ˈɑ u n̪ˠ l̪ˠ ə n̪ˠ
cíos	c iː sˠ
dtuama	ˈd̪ˠ u ə mˠ ə
córas	ˈk oː ɾˠ ə sˠ
snáthaid	ˈsˠ n̪ˠ ɑː h ə d̪ˠ
gráigh	ɡ ɾˠ ɑː ɟ
foirmle	ˈfˠ ɛ ɾʲ ə mʲ lʲ ə
connadh	ˈk ɔ n̪ˠ ə
glinne	ˈɟ lʲ i n̠ʲ ə
moille	ˈmˠ ɪ l̠ʲ ə
geall	ɟ a u l̪ˠ
fionn	fʲ ũː n̪ˠ
Spáinne	ˈsˠ pˠ ɑː ɲ ɪ
seachtar	ˈʃ a x t̪ˠ ə ɾˠ
méar	mʲ iː a̯ ɾˠ
ómrach	ˈoː mˠ ɾˠ ə x
céide	ˈc eː dʲ ə
tar	t̪ˠ a ɾˠ
tae	t̪ˠ eː
puca	ˈpˠ ʊ k ə
conáil	ˈk uː nˠ æ lʲ
gair	ɡ a ɾʲ
comh	k ɔ
cáinte	ˈk ɑː n̠ʲ tʲ ə
dála	ˈd̪ˠ ɑː lˠ ə
gnóthach	ˈɡ ɾˠ ẽː h a x
puinn	pˠ iː nʲ
saol	sˠ eː l̪ˠ
brat	bˠ ɾˠ ɑ t̪ˠ
ladhar	l̪ˠ ə i ɾˠ
Peirsis	ˈpʲ ɛ ɾʲ ʃ ɪ ʃ
thiocfadh	ˈh ʊ k ə tʲ
uaibhse	ˈw æ pʲ ʃ ə
rásúirí	ˈɾˠ ɑː sˠ uː ɾʲ iː
com	k ʌ mˠ
iargúil	ˈj i ə ɾˠ ə ɡ u lˠ
gaige	ˈɡ a ɟ ɪ
feic	fʲ ɛ c
sealg	ˈʃ a l̪ˠ ə ɡ
aithinne	ˈæ h ə n̠ʲ ə
ísliú	ˈiː ʃ l̠ʲ u
mhac	vˠ ɑ k
tiarnas	ˈtʲ i ə ɾˠ n̪ˠ ə sˠ
fíoraíocht	fʲ iː ˈɾˠ i ə x t̪ˠ
d'astaigh	ˈd̪ˠ ɑ sˠ t̪ˠ ə
fan	fˠ a nˠ
leoraís	lʲ ɔ ɾˠ iː sˠ
tíortha	ˈtʲ iː ɾˠ h ə
sliabh	ʃ lʲ i ə vˠ
cúramach	ˈk uː ɾˠ ə mˠ ə x
cuinneog	k ɪ ˈɲ oː ɡ
lúthchleasaí	ˌl̪ˠ uː ç lʲ a ˈsˠ iː
lig	ˈl̠ʲ ɪ ɟ
dhearnadar	ˈj aː ɾˠ n̪ˠ ə d̪ˠ ə ɾˠ
oíche	ˈiː h ə
cleite	ˈc lʲ ɛ tʲ ə
eadhon	aː n
nífidh	ˈn̠ʲ iː h ə
cosán	k ə ˈsˠ ɑː n̪ˠ
feiceálach	ˈfʲ ɛ c a lˠ a x
leitean	ˈl̠ʲ ɛ tʲ ə nˠ
gustal	ˈɡ ʊ sˠ t̪ˠ ə l̪ˠ
cnagadh	ˈk n̪ˠ ɑ ɡ ə
Carghais	k ɑ ˈɾˠ iː ʃ
scaoileadh	ˈsˠ k iː lʲ ə
tuaighe	t̪ˠ u ə j
móide	ˈmˠ oː dʲ ə
bagairt	ˈbˠ a ɡ ə ɾˠ tʲ
asatsa	ˈɑ sˠ ə t̪ˠ sˠ ə
gcloich	ɡ l̪ˠ ɞ h
cíocras	ˈc iː k ɾˠ ə sˠ
báistigh	ˈbˠ ɑː ʃ tʲ ɪ ɟ
rr	ɾˠ
gá	ɡ ɑː
guite	ˈɡ ɪ tʲ ə
d'fhág	d̪ˠ ɑː ɡ
asamsa	ˈa sˠ ə mˠ sˠ ə
toilteanas	ˈt̪ˠ ɔ l̠ʲ tʲ ə nˠ ə sˠ
teilg	ˈtʲ ɛ lʲ ɪ ɟ
ruóg	ˈɾˠ uː oː ɡ
