شمال	ʃ o m ɑː l
چنانکه	t͡ʃ o n ɑː n k e
مخاطب	m o x ɑː t a b
واکسن	v ɑ k s a n
نااهل	n ɑː ʔ a h l
بینی	b i n iː
جانباز	d͡ʒ ɑː m b ɑː z
موی	m uː j
دوست	d oː s t
فرق	f a ɾ q
زود	z u d
لوبیا	l oː b i i̯ ɑː
تازه‌ترین	t ɑː z e t a ɾ iː n
تصحیح	t a s h e h
صحرا	s a h ɾ ɑː
اجازه	e d͡ʒ ɑː z e
نظام	n e z ɑː m
شناختن	ʃ e n ɑː x t a n
الماس‌ها	a l m ɑː s h ɑː
بریدن	b o ɾ iː d a n
دقت	d e ɢ ɢ a t
ثابت	s ɑː b e tʰ
تار	t ɑː ɾ
تصویر	t a s v i ɾ
جان	d͡ʒ uː n
شپش	ʃ e p e ʃ
خدا	x o d ɑː
ابری	ʔ a b ɾ iː
برداشتن	b a ɾ d ɑː ʃ t a n
وسط	v a s a t
پیسه	p a j s a
زیرسیگاری	z iː ɾ s iː ɡ ɑː ɾ iː
رسمی	ɾ a s m iː
مهندسی	m o h a n d e s iː
زیر	z e ɾ
آفند	ɑː f a n d
سیر	s e ɾ
مرشدقلی	m o ɾ ʃ e d ɢ o l iː
فرج	f a ɾ d͡ʒ
مروارید	m o ɾ v ɑː ɾ iː d
قبرستان	q a b ɾ i s t ɑː n
غریب	ɢ a ɾ iː b
مقطع	m a q t a ʔ
نغز	n a ɣ z
ساده	s ɑː d a
خوراک	x o ɾ ɑː k
فرمان	f a ɾ m ɑː n
درآوردن	d a ɾ ɑː w a ɾ d a n
مؤمن	m o ʔ m e n
وج	v a d͡ʒ
شهادت	ʃ a h ɑː d̪ a t̪
مردانه	m a ɾ d ɑː n a
بچگی	b a t t͡ʃ a ɡ iː
نشاط	n e ʃ ɑː t
بخارا	b o x ɑː ɾ ɑː
ذاتی	z ɑː t iː
مرغ‌ها	m o ɾ ɣ h ɑː
جویدن	d͡ʒ a v i d a n
مرمر	m a ɾ m a ɾ
جدا	d͡ʒ e d d a n
ژامبون	ʒ ɑː m b o n
ارغوان	a ɾ ɣ a v ɑː n
جانورشناسی	d͡ʒ ɑː n w a ɾ ʃ i n ɑː s iː
تاجگذاری	t ɑː d͡ʒ ɡ u z ɑː ɾ iː
خودکشی	x o d k o ʃ iː
چاپگر	t͡ʃ ɑː p ɡ a ɾ
آژیر	ɑː ʔ ʒ iː ɾ
اداره	e d ɑː ɾ e
امید	o m iː d
برادر	b a ɾ ɑː d a ɾ
کلپ	k l a p
