نېښو	n ə ʂ o
تږی	t ʂ i
نجونې	n d͡ʒ o n ə
جریان	d͡ʒ r i ɑ n
امرونوان	ɑ m r o n o ɑ n
همبرداشت	h ə m b r d ɑ ʂ t
موټرد	m o ʈ r d
ونیوله	w o n i o l ə
سویلي	s o w i l i
میرمن	m i r m ə n
مخالفت	m x ɑ l ə f t
يوهنخيتار	j o h ə n x i t ɑ r
ناسته	n ɑ s t ə
نشي	n ʂ i
کمښت	k ə m ʂ t
وغواړی	w ɣ o ɑ ɽ i
فوټبال	f o ʈ b ɑ l
طبقه	t ɑ b q ə
ورسید	w o r s i d
ګرمدیځ	ɡ r m d i ʝ
اخیست	ɑ x i s t
دایمي	d ɑ i m i
چټکۍ	t͡ʃ ʈ k ə i
وشي	w ʂ i
پوهیږم	p o h i ʐ m
زامنو	z ɑ m n o
وباسي	w b ɑ s i
ساتلو	s ɑ t l o
درنکړم	d r n k ɽ m
ویښتانو	w i ʂ t ɑ n o
سوډان	s o ɖ ɑ n
دروغوويلو	d r o ɣ o w i l o
کانټینر	k ɑ n ʈ i n r
وموندلې	w m o n d l ə
مایو	m ɑ j o
ماهی	m ɑ h i
ام	ɑ m
ننه	n ə n ə
مړینې	m ɽ i n ə
لی	l i
پرانیستله	p r ɑ n i s t l ə
ویلي	w i l i
شومنو	ʂ o m n o
وده	o d ə
ووینه	w o w i n ə
اندازه	ɑ n d ɑ z ə
سهارریما	s ə h ɑ r r i m ɑ
پرانستله	p r ɑ n s t l ə
وکړئیا	w k ɽ ə i ɑ
مرګاويا	m r ɡ ɑ w i ɑ
همده	h ʌ m d ə
کېدای	k eɪ d aɪ
آسیم	ɑː s iː m
سیند	s iː n d
نیول	n iː uː l
لورته	l oː r t ə
شو	ʃ oː
سیمه	s iː m ə
ډیرو	ɖ iː r oː
غوړ	ɣ oː ɖʐ
لرغونی	l ə r ɣ oː n iː
پوهیږي	p oː h iː ʐ iː
کوزی	k oː z iː
چا	tʃ aː
ثابته	θ ɑː b ə t ə
طرف	ʈ ə r f
حکيم	ħ ə k iː m
ناڅاپه	n ɑː ʈʂ ɑː p ə
فضا	f ə z ɑː
ذهني	ð ə h n iː
کرنې	k ə r n eɪ
ویښتان	v iː ʂ t ɑː n
پایه	p aɪ ə
خوندي	x oː n d iː
دوامداره	d oː ɑː m d ɑː r ə
کڅوړو	k ʈʂ oː ɖʐ oː
ویده	v iː d ə
زهر	z ə h r
پرانستله	p r ɑː n ə s t ə l ə
ویشي	v iː ʃ iː
ډکیو	ɖ k iː oː
ماهر	m ɑː h ə r
مترو	m ə t r oː
