فحم	f a ħ m
سرط	s a r a tˤ a
للأسف	l i l ʔ a s a f
مومس	m uː m i s
مهنة	m i h n a
تودريج	t uː d a r iː d͡ʒ
خارصين	x aː r a sˤ iː n
حوافل	ħ a w aː f i l
أوعية	ʔ a w ʕ i j a
عميق	ʕ a m iː q
منبه	m u n a b b i h
صؤل	sˤ a ʔ u l a
حوالي	ħ a w aː l a j
تكدس	t a k a d d a s a
مستقبل	m u s t a q b a l
حورس	ħ uː r u s
ديناميكا	d iː n aː m iː k aː
محول	m u ħ a w w i l
كلبة	k a l b a
بلغم	b a l ɣ a m
متسامح	m u t a s aː m i ħ
كتابة	k i t aː b a
مجري	m a d͡ʒ a r i j j
سجين	s a d͡ʒ iː n
تنزانيا	t a n z aː n j aː
تالي	t aː l iː
تذكار	t a ð k aː r
قتلة	q a t l a h
استطار	i s t a tˤ aː r a
فقاقيع	f a q aː q iː ʕ
مناخي	m a n aː x i j j
خرزة	x u r z a
ترصد	t a r a sˤ sˤ a d a
طنجيرة	tˤ a n d͡ʒ iː r a
محمد	m a ħ m a d
منقار	m a n q aː r
رونق	r a w n a q
إكتاب	ʔ i k t aː b
مملوك	m a m l uː k
مصراع	m i sˤ r aː ʕ
حيوان	ħ a j a w aː n
نعامة	n a ʕ aː m a
انسلخ	i n s a l a x a
عفيف	ʕ a f iː f
إقالة	ʔ i q aː l a
ملقن	m u l a q q i n
نشرة	n a ʃ r a
كادس	k aː d i s
بسكرة	b i s k a r a
سبج	s a b a d͡ʒ
لله	l i l l aː h
شحاذة	ʃ i ħ aː ð a
بوسكورة	b uː s k uː r a
أوحد	ʔ a w ħ a d
ازدحم	i z d a ħ a m a
قربان	q i r b aː n
جرذ	d͡ʒ u r a ð
رعرع	r a ʕ r a ʕ a
سار	s aː r r
أقرع	ʔ a q r a ʕ
إكليل	ʔ i k l iː l
ذروة	ð u r w a
ضمة	dˤ a m m a
استثمار	i s t i θ m aː r
حلتيث	ħ i l t iː θ
مراهق	m u r aː h i q
خلاعي	x a l aː ʕ i j j
تعليق	t a ʕ l iː q
دند	d a n d
مرادف	m u r aː d i f
اتحد	i t t a ħ a d a
ميتوكندريون	m iː t uː k u n d r i j uː n
حكومة	ħ u k uː m a
فوف	f uː f
متناول	m u t a n aː w i l
بلغاري	b u l ɣ aː r i j j
طاف	tˤ aː f a
تناوم	t a n aː w a m a
إذاعة	ʔ i ð aː ʕ a
فصد	f a sˤ a d a
أرسطوطاليس	ʔ a r i s tˤ uː tˤ aː l iː s
دلل	d a l l a l a
رائع	r aː ʔ i ʕ
استشرق	i s t a ʃ r a q a
حسنا	ħ a s s a n n aː
شهلة	ʃ a h l a
إبيقوري	ʔ i b iː q uː r i j j
أوضح	ʔ a w dˤ a ħ a
قبج	q a b a d͡ʒ
أبها	ʔ a b h aː
ملكوت	m a l a k uː t
فني	f a n i j a
مريء	m a r iː ʔ
محن	m i ħ a n
قفة	q u f f a
وطني	w a tˤ a n i j j
خصوص	x u sˤ uː sˤ
مثنان	m a θ n aː n
تقدم	t a q a d d a m a
سبأ	s a b a ʔ
فاجرة	f aː d͡ʒ i r a
لوياثان	l a w i j aː θ aː n
بخير	b i x a j r
تطبب	t a tˤ a b b a b a
مرجع	m a r d͡ʒ i ʕ
أصطرك	ʔ a sˤ tˤ a r a k
أنتن	ʔ a n t u n n a
نفقة	n a f a q a
ميمون	m a j m uː n
لام	l aː m
تحرش	t a ħ a r r a ʃ a
تقدد	t a q a d d a d a
أعز	ʔ a ʕ a z z
حلتيت	ħ a l t iː t
مكسور	m a k s uː r
مجادلة	m u d͡ʒ aː d a l a h
مقالة	m a q aː l a
تهدد	t a h a d d a d a
أتقن	ʔ a t q a n a
تهالك	t a h aː l a k a
عران	ʕ i r aː n
قداحة	q a d d aː ħ a
دفتر	d a f t a r
إناء	ʔ i n aː ʔ
انقضاض	i n q i dˤ aː dˤ
توصية	t a w sˤ i j a
هراوة	h i r aː w a
وجنة	w a d͡ʒ n a
عرنسية	ʕ a r a n s i j j a
قذارة	q a ð aː r a
نزية	n a z i j j a
تباطأ	t a b aː tˤ a ʔ a
ماعون	m aː ʕ uː n
مذيع	m u ð iː ʕ
حيثيات	ħ a j θ i j j aː t
قراءة	q i r aː ʔ a
حرقدة	ħ a r q a d a
توتيا	t uː t i j aː
القرآن	a l q u r ʔ aː n
بطرك	b a tˤ r a k
فوضى	f a w dˤ aː
عنبروت	ʕ a n b a r uː t
حسناء	ħ a s n aː ʔ
ودج	w a d a d͡ʒ
واشنطن	w aː ʃ i n tˤ u n
اكتحل	i k t a ħ a l a
قابلية	q aː b i l i j j a
جذع	d͡ʒ a ð a ʕ
شاهلوج	ʃ aː h a l uː d͡ʒ
وسع	w a s i ʕ a
موسكو	m uː s k uː
كيرلس	k iː r u l u s
مقشرة	m i q ʃ a r a
لكمة	l a k m a
ذال	ð aː l
مثار	m u θ aː r
عدمية	ʕ a d a m i j j a
حصاد	ħ a sˤ aː d
جنسية	d͡ʒ i n s i j j a
كعك	k a ʕ k
اكتفى	i k t a f aː
عظم	ʕ a ðˤ m
أخدر	ʔ a x d a r
أمان	ʔ a m aː n
بالوعات	b aː l uː ʕ aː t
قاليقلا	q aː l iː q a l aː
غدير	ɣ a d iː r
مدرك	m u d r a k
أول	ʔ a w w a l
عناب	ʕ u n n aː b
لاسلطوي	l aː s u l tˤ a w i j j
وبيل	w a b iː l
مخطئ	m u x tˤ i ʔ
مري	m u r iː
برشيد	b a r ʃ iː d
صواع	sˤ i w aː ʕ
بين	b a j n a
رابطة	r aː b i tˤ a
دمدم	d a m d a m a
ثانوي	θ aː n a w i
إشبينة	ʔ i ʃ b iː n a
ملاتيوس	m i l aː t i j uː s
قرطاجي	q a r tˤ aː d͡ʒ i j j
اليسع	a l j a s a ʕ
نتوء	n u t uː ʔ
فوطة	f uː tˤ a
عزا	ʕ a z aː
ساء	s aː ʔ a
كانون	k aː n uː n
قومية	q a w m i j j a
عمى	ʕ a m m aː
لاسلطوية	l aː s u l tˤ a w i j j a
مرحلة	m a r ħ a l a
باسل	b aː s i l
نادل	n aː d i l
عمودي	ʕ a m uː d i j j
اختل	i x t a l l a
أبتر	ʔ a b t a r
مساطر	m a s aː tˤ i r
صرافة	sˤ a r r aː f a
عيني	ʕ a j n i j j
اشترى	i ʃ t a r aː
بلاهة	b a l aː h a
بعير	b a ʕ iː r
قيتار	q iː t aː r
دنو	d u n u w w
عاصف	ʕ aː sˤ i f
أبكم	ʔ a b k a m
فرسخ	f a r s a x
بوصير	b uː sˤ iː r
وقود	w a q uː d
عنيف	ʕ a n iː f
كره	k a r h
تمنى	t a m a n n aː
زعتر	z a ʕ t a r
مروحة	m i r w a ħ a
عفت	ʕ a f a t a
قشف	q a ʃ i f a
اختط	i x t a tˤ tˤ a
سرخس	s a r x a s
مظهر	m a ðˤ h a r
نبذة	n u b ð a
ملاك	m u l l aː k
مقدونس	m a q d uː n i s
عليق	ʕ u l l a j q
أكتوبر	ʔ a k t uː b a r
إهليلج	ʔ i h l iː l a d͡ʒ
حوب	ħ uː b
قلب	q a l a b a
وزراء	w u z a r aː ʔ
إسكتلندا	ʔ i s k u t l a n d aː
رسداق	r u s d aː q
تجرع	t a d͡ʒ a r r a ʕ a
جاذبية	d͡ʒ aː ð i b i j j a
مكتب	m a k t a b
سلح	s a l a ħ a
اصطدأ	i sˤ tˤ a d a ʔ a
عراك	ʕ i r aː k
نخشوش	n a x ʃ uː ʃ
قذيفة	q a ð iː f a
أيهقان	ʔ a j h a q aː n
عتب	ʕ a t a b
المكسيك	a l m a k s iː k
ناخوذة	n aː x uː ð a
كويكب	k u w a j k i b
شبح	ʃ a b a ħ
مسود	m u s w a d d
الكاميرون	a l k aː m iː r uː n
برقوق	b a r q uː q
داعش	d aː ʕ i ʃ
وراط	w i r aː tˤ
غالبية	ɣ aː l i b i j j a
وتدي	w a t a d i j j
أفسنتين	ʔ a f s i n t iː n
هجوم	h u d͡ʒ uː m
فسيفساء	f u s a j f i s aː ʔ
مدبر	m u d a b b i r
أناغلس	ʔ a n aː ɣ a l i s
نخاع	n u x aː ʕ
جزدان	d͡ʒ i z d aː n
صحى	sˤ a ħ ħ aː
رهينة	r a h iː n a
تعويذة	t a ʕ w iː ð a
خالف	x aː l a f a
أذاع	ʔ a ð aː ʕ a
ربت	r a b b a t a
فعالية	f a ʕ ʕ aː l i j j a
استيقظ	i s t a j q a ðˤ a
عربيزي	ʕ a r a b iː z i j j
قفص	q a f a sˤ
كزمازج	k a z m aː z a d͡ʒ
بلادونا	b i l aː d uː n aː
شاقولي	ʃ aː q uː l i j j
ضاحية	dˤ aː ħ i j a
تصالح	t a sˤ aː l a ħ a
انتشار	i n t i ʃ aː r
سنط	s a n tˤ
عادة	ʕ aː d a
ركبة	r a k a b a
إسكتلندي	ʔ i s k u t l a n d i j j
هيبة	h a j b a
حلال	ħ a l aː l
زوم	z uː m
ذئبة	ð i ʔ b a
طعام	tˤ a ʕ aː m
حمصيص	ħ a m a sˤ iː sˤ
جلنار	d͡ʒ u l l a n aː r
ماه	m aː h a
مغلوب	m a ɣ l uː b
أكشف	ʔ a k ʃ a f a
فاسد	f aː s i d
الصربية	a sˤ sˤ i r b i j j a
أفقي	ʔ u f u q i j j
مضايف	m a dˤ aː j i f
لكنة	l u k n a
