آئورت	ɑː ʔ o ɾ t
آب	ɑː b
آباد	ɑː b ɑː d
آبان	ɑː b ɑː n
آبدست	ɑː b d a s t
آبشار	ɑː b ʃ ɑː ɾ
آبلیمو	ɑː b l iː m uː
آبنوس	ɑː b n uː s
آبگینه	ʔ ɑː b ɡ iː n e
آبی	ɑː b iː
آتش	ɑː tʰ a ʃ
آتنا	ɑː t i n ɑː
آجر	ɑː d͡ʒ u ɾ
آجیل	ɑː d͡ʒ iː l
آخ	ɑː χ
آخر	ɑː x a ɾ
آخور	ʔ ɑː xʷ a ɾ
آخوند	ɑː x uː n d
آدرس	ɑː d ɾ e s
آدم	ɑː d a m
آدم‌ها	ɑː d a m h ɑː
آدینه	ɑː d iː n a
آذر	ɑː z a ɾ
آذربایجان	ɑː z a ɾ b ɑː j d͡ʒ ɑː n
آذرخش	ɑː ð a ɾ a x ʃ
آراستن	ɑː ɾ ɑː s t a n
آرام	ɑː ɾ ɑː m
آرامگاه	ɑː ɾ ɑː m ɡ ɑː h
آرامی	ɑː ɾ ɑː m iː
آرایش	ɑː ɾ ɑː j i ʃ
آرایشگاه	ɑː ɾ ɑː j i ʃ ɡ ɑː h
آرد	ɑː ɾ d
آرزو	ɑː ɾ i z uː
آرپا	ɑː ɾ p ɑː
آرژانتین	ɑː ɾ ʒ ɑː n t iː n
آری	ɑː ɾ eː
آزاد	ɑː z ɑː d
آزادی	ɑː z ɑː d iː
آزردن	ɑː z o ɾ d a n
آزمایش	ɑː z m ɑː j i ʃ
آزمایشگاه	ɑː z m ɑː j i ʃ ɡ ɑː h
آزمودن	ɑː z m uː d a n
آزموده	ɑː z m uː d a
آسام	ɑː s ɑː m
آسان	ɑː s ɑː n
آسانی	ɑː s ɑː n iː
آسایش	ɑː s ɑː j i ʃ
آستانه	ɑː s t ɑː n a
آستانه‌ای	ɑː s t ɑː n a iː
آسمان	ɑː s i m ɑː n
آسمانخراش	ɑː s m ɑː n x a ɾ ɑː ʃ
آسیا	ɑː s ɪ j ɑː
آسیاب	ɑː s i j ɑː b
آش	ʔ ɑː ʃ
آشتی	ɑː ʃ t iː
آشفته	ɑː ʃ u f t a
آشنا	ɑː ʃ i n ɑː
آشوب	ɑː ʃ oː b
آشوب‌ها	ɑː ʃ uː b h ɑː
آشپز	ɑː ʃ p a z
آشپزخانه	ɑː ʃ p a z x ɑː n a
آغا	ɑː ɣ ɑː
آغاز	ɑː ɣ ɑː z
آغوش	ɑː ɣ oː ʃ
آغیل	ɑː ɣ iː l
آفت	ɑː f a t
آفتاب	ɑː f t ɑː b
آفریدن	ɑː f a ɾ iː d a n
آفرین	ɑː f a ɾ iː n
آفرینش	ɑː f a ɾ iː n i ʃ
آفند	ɑː f a n d
آقا	ɑː q ɑː
آلاله	ɑː l ɑː l a
آلایش	ɑː l ɑː j i ʃ
آلت	ɑː l a t
آلرژی	ɑː l i ɾ ʒ iː
آلفته	ɑː l u f t a
آلمان	ɑː l m ɑː n
آلودن	ɑː l uː d a n
آمار	ɑː m ɑː ɾ
آمارگر	ɑː m ɑː ɾ ɡ a ɾ
آمد	ɑː m a d
آمدن	ɑː m a d a n
آمرزیدن	ɑː m u ɾ z iː d a n
آموختن	ɑː m oː x t a n
آموزش	ɑː m oː z i ʃ
آموزگار	ɑː m oː z ɡ ɑː ɾ
آمیتیست	ɑː m iː t iː s t
آمیختن	ɑː m eː x t a n
آمیزش	ɑː m iː z e ʃ
آن	ɑː n
آنجا	ɑː n d͡ʒ ɑː
آنغوزه	ɑː n ɣ u z a
آنقدر	ɑː n q a d ɾ
آنلاین	ɑː n l ɑː j n
آهار	ɑː h ɑː ɾ
آهسته	ɑː h i s t a
آهن	ɑː h a n
آهنگ	ɑː h a n ɡ
آهنین	ɑː h a n iː n
آوا	ɑː w ɑː
آواز	ɑː w ɑː z
آوازه	ɑː w ɑː z a
آویختن	ɑː w eː x t a n
آچار	ɑː t͡ʃ ɑː ɾ
آژیر	ɑː ʔ ʒ iː ɾ
آکندن	ʔ ɑː k a n d a n
آگاه	ɑː ɡ ɑː h
آیا	ɑː j ɑː
آیت‌الله	ɑː j a t u l l ɑː h
آینده	ɑː j a n d a
ائتلاف	e ʔ t e l ɑː f
ابتدا	e b t e d ɑː
ابتکار	e b t e k ɑː ɾ
ابد	a b a d
ابر	a b a ɾ
ابراهیم	e b ɾ ɑː h iː m
ابرش	a b ɾ a ʃ
ابرنواختر	a b a ɾ n a v a x t a ɾ
ابرو	a b ɾ u
ابری	ʔ a b ɾ iː
ابریشم	a b ɾ i ʃ a m
ابریق	e b ɾ iː ɢ
ابری‌ساز	ʔ a b ɾ iː s ɑː z
ابری‌سازی	ʔ a b ɾ iː s ɑː z iː
ابزار	a b z ɑː ɾ
ابلیس	e b l iː s
ابهام	e b h ɑː m
ابوبکر	a b u b a k ɾ
اتاق	o t ɑː ɢ
اتحاد	e t t e h ɑː d
اتحادیه	e t t e h ɑː d iː j e
اتراق	o t ɾ ɑː ɢ
اتصال	e t t e s ɑː l
اتفاق	e t t e f ɑː ɢ
اتفاقاً	e t t e f ɑː ɢ a n
اتلاف	e t l ɑː f
اتم	a t o m
اتمام	e t m ɑː m
اتم‌ها	a t o m h ɑː
اثاث	a s ɑː s
اثبات	e s b ɑː t
اثر	a s a ɾ
اجازه	e d͡ʒ ɑː z e
اجاق	o d͡ʒ ɑː ɢ
اجتماع	e d͡ʒ t e m ɑː ʔ
اجتماعی	e d͡ʒ t e m ɑː ʔ iː
احترام	e h t e ɾ ɑː m
احتمال	e h t e m ɑː l
احتیاج	e h t i j ɑː d͡ʒ
احساس	e h s ɑː s
احمدی‌نژاد	a h m a d i n i ʒ ɑː d
احمق	a h m a q
اخبار	a x b ɑː ɾ
اخترمار	a x t a ɾ m ɑː ɾ
اختصار	e x t e s ɑː ɾ
اختیار	e x t i j ɑː ɾ
اخذ	ʔ a x z
اخراج	e x ɾ ɑː d͡ʒ
اخیرا	a x i ɾ a n
ادا	a d ɑː
اداره	e d ɑː ɾ e
ادامه	e d ɑː m e
ادبیات	a d a b i j ɑː t
ادغام	e d ɢ ɑː m
ادویه	a d v i j a
ادیان	a d j ɑː n
اذان	a z ɑː n
اذیت	a z i j a t
ارادت	e ɾ ɑː d a t
اراده	e ɾ ɑː d e
ارتش	a ɾ t i ʃ
ارتعاش	e ɾ t e ʔ ɑː ʃ
ارده	a ɾ d a
اردو	o ɾ d uː
اردیبهشت	o ɾ d iː b e h e ʃ t
ارزان	a ɾ z ɑː n
ارزش	a ɾ z i ʃ
ارزشمند	a ɾ z i ʃ m a n d
ارزیدن	a ɾ z i d a n
ارس	a ɾ a s
ارسطو	a ɾ a s t u
ارشد	a ɾ ʃ a d
ارض	a ɾ z
ارغنون	a ɾ ɣ a n uː n
ارغوان	a ɾ ɣ a v ɑː n
ارغوانی	a ɾ ɣ a v ɑː n iː
ارمنستان	a ɾ m a n i s t ɑː n
ارگ	o ɾ ɡ
اریحا	a ɾ i h ɑː
از	a z
ازاله	e z ɑː l e
ازبکستان	o z b a k e s t ɑː n
ازدواج	e z d e v ɑː d͡ʒ
ازگیل	a z ɡ i l
اساتید	a s ɑː t iː d
اسب	a s b
اسبغول	e s b a ɢ uː l
استاد	o s t ɑː d
استادانه	ʔ o s tʰ ɑː d̪ ɑː n e
استان	o s t ɑː n
استاندار	o s tʰ uː n d ɑː ɾ
استخدام	e s t e x d ɑː m
استخوان	o s t o x ɑː n
