дисертациски	d i s ɛ r t a t͡s i s k i
продолжува	p r ɔ d ɔ ɫ ʒ u v a
нададе	n a d a d ɛ
досади	d ɔ s a d i
киселини	k i s ɛ l i n i
рачуле	r a t͡ʃ u l ɛ
отсуство	ɔ t s u s t v ɔ
ненадарен	n ɛ n a d a ɾ ɛ n
нелиценцирање	n ɛ l i t͡s ɛ n t͡s i ɾ a ɲ ɛ
колови	k ɔ ɫ ɔ v i
анализира	a n a l i z i ɾ a
судбоносен	s u d b ɔ n ɔ s ɛ n
ловор	ɫ ɔ v ɔ r
слабокрвен	s ɫ a b ɔ k r̩ v ɛ n
семиологија	s ɛ m i j ɔ ɫ ɔ ɡ i j a
бесцелен	b ɛ s t͡s ɛ l ɛ n
отплетува	ɔ t p l ɛ t u v a
презентација	p r ɛ z ɛ n t a t͡s i j a
џадиња	d͡ʒ a d i ɲ a
неприменување	n ɛ p r i m ɛ n u v a ɲ ɛ
злосторство	z ɫ ɔ s t ɔ r s t v ɔ
издрибла	i z d r i b ɫ a
немирисање	n ɛ m i r i s a ɲ ɛ
велипеток	v ɛ l i p ɛ t ɔ k
неклиматизиран	n ɛ k l i m a t i z i ɾ a n
печива	p ɛ t͡ʃ i v a
неблокиран	n ɛ b ɫ ɔ k i ɾ a n
драг	d r a k
измиван	i z m i v a n
дадиња	d a d i ɲ a
инкубатори	i ŋ k u b a t ɔ ɾ i
трубен	t r u b ɛ n
кумановка	k u m a n ɔ f k a
оттука	ɔ t t u k a
неактуализирање	n ɛ a k t u a l i z i ɾ a ɲ ɛ
громогласен	ɡ r ɔ m ɔ ɡ ɫ a s ɛ n
норвешки	n ɔ r v ɛ ʃ k i
трапови	t r a p ɔ v i
кошаркар	k ɔ ʃ a r k a r
сврзе	s v r̩ z ɛ
догматизам	d ɔ ɡ m a t i z a m
женствено	ʒ ɛ n s t v ɛ n ɔ
добротворен	d ɔ b r ɔ t v ɔ ɾ ɛ n
хокеист	x ɔ k ɛ i s t
венецуелка	v ɛ n ɛ t͡s u ɛ ɫ k a
близост	b l i z ɔ s t
освестува	ɔ s v ɛ s t u v a
сенкар	s ɛ ŋ k a r
планктон	p ɫ a ŋ k t ɔ n
обезвластување	ɔ b ɛ z v ɫ a s t u v a ɲ ɛ
исполни	i s p ɔ ɫ n i
неиздржан	n ɛ i z d r̩ ʒ a n
незачувување	n ɛ z a t͡ʃ u v u v a ɲ ɛ
пеликански	p ɛ l i k a n s k i
распердашува	r a s p ɛ r d a ʃ u v a
препакување	p r ɛ p a k u v a ɲ ɛ
нокширче	n ɔ k ʃ i r t͡ʃ ɛ
мразулче	m r a z u ɫ t͡ʃ ɛ
стрв	s t r̩ f
специјалец	s p ɛ t͡s i j a l ɛ t͡s
раслојување	r a s ɫ ɔ j u v a ɲ ɛ
целосен	t͡s ɛ ɫ ɔ s ɛ n
аниматор	a n i m a t ɔ r
активација	a k t i v a t͡s i j a
лем	l ɛ m
висина	v i s i n a
мариово	m a r i j ɔ v ɔ
наградуван	n a ɡ r a d u v a n
пруги	p r u ɡ i
легенда	l ɛ ɡ ɛ n d a
пасинок	p a s i n ɔ k
покачува	p ɔ k a t͡ʃ u v a
тиња	t i ɲ a
свилар	s v i ɫ a r
черепен	t͡ʃ ɛ ɾ ɛ p ɛ n
бекнува	b ɛ k n u v a
ризичност	r i z i t͡ʃ n ɔ s t
