حنفي	ħ a n a f i j j
رفأ	r a f a ʔ a
مقطعية	m a q tˤ a ʕ i j j a
جبت	d͡ʒ i b t
عمة	ʕ a m m a
ريال	r i j aː l
أنواط	ʔ a n w aː tˤ
عمروسة	ʕ a m r uː s a
ركيزة	r a k iː z a
وجيز	w a d͡ʒ iː z
منذ	m u n ð u
أكسيد	ʔ u k s iː d
خرنق	x i r n i q
تمرين	t a m r iː n
طار	tˤ aː r a
ذبابة	ð u b aː b a
إمضاء	ʔ i m dˤ aː ʔ
مأزق	m a ʔ z i q
اكتحل	i k t a ħ a l a
أباس	ʔ u b aː s
أنيون	ʔ a n j uː n
بحاح	b u ħ aː ħ
مثلث	m u θ a l l a θ
سبج	s a b a d͡ʒ
صئم	sˤ a ʔ i m a
أجوف	ʔ a d͡ʒ w a f
عنبروت	ʕ a n b a r uː t
أنطاكية	ʔ a n tˤ aː k i j a
تدرج	t a d a r r a d͡ʒ a
الكويت	a l k u w a j t
شاي	ʃ aː j
دمية	d u m j a
ناهز	n aː h a z a
براعة	b a r aː ʕ a
أنفق	ʔ a n f a q a
أغلب	ʔ a ɣ l a b
فسيفساء	f u s a j f i s aː ʔ
حامض	ħ aː m i dˤ
دائخ	d aː ʔ i x
ضحية	dˤ a ħ i j j a
حذار	ħ a ð aː r i
ودامون	w a d aː m uː n
قستوس	q i s t uː s
حوض	ħ a w dˤ
مايو	m aː j uː
سلاف	s u l aː f
صبابة	sˤ a b aː b a
قنديد	q i n d iː d
رمس	r a m a s
حاء	ħ aː ʔ
تترى	t a t r aː
مستوقد	m u s t a w q a d
أنتيكخانة	ʔ a n t iː k x aː n a
مخلوقات	m a x l uː q aː t
قيتارة	q iː t aː r a
اختلاس	i x t i l aː s
غزير	ɣ a z iː r
أوج	ʔ a w d͡ʒ
أصحى	ʔ a sˤ ħ aː
تراخوما	t a r aː x uː m aː
تلقاء	t i l q aː ʔ a
إفادة	ʔ i f aː d a
أوعية	ʔ a w ʕ i j a
خنزير	x i n z iː r
ملاحقة	m u l aː ħ a q a
مصبنة	m a sˤ b a n a
أسفر	ʔ a s f a r a
مطواة	m i tˤ w aː h
إزعاج	ʔ i z ʕ aː d͡ʒ
بادية	b aː d i j a
متوسط	m u t a w a s s i tˤ
أطلع	ʔ a tˤ l a ʕ a
روسيا	r uː s i j aː
مشرك	m u ʃ r i k
شارع	ʃ aː r i ʕ
أولياء	ʔ a w l i j aː ʔ
لبأ	l i b a ʔ
ثكل	θ a k i l a
أصطرك	ʔ a sˤ tˤ a r a k
مرجع	m a r d͡ʒ i ʕ
شرب	ʃ a r i b a
جندبادستر	d͡ʒ u n d u b aː d a s t a r
هوادة	h a w aː d a
إقنيز	ʔ i q n iː z
آتون	ʔ aː t uː n
بلغمي	b a l ɣ a m i j j
شهلة	ʃ a h l a
صحراوي	sˤ a ħ r aː w i j j
بلعوم	b u l ʕ uː m
مروض	m u r a w w a dˤ
ناي	n aː j
وضوء	w u dˤ uː ʔ
تلغراف	t a l i ɣ r aː f
كلك	k a l a k
إنتاج	ʔ i n t aː d͡ʒ
نسى	n a s s aː
قاض	q aː dˤ a
حاط	ħ aː tˤ a
إسماعيلي	ʔ i s m aː ʕ iː l i j j
مجري	m a d͡ʒ a r i j j
نبات	n a b aː t
كيول	k a j j uː l
قولنج	q a w l a n d͡ʒ
سفرجلة	s a f a r d͡ʒ a l a
مقلق	m u q l i q
هدى	h a d aː
مهندس	m u h a n d i s
نعناع	n a ʕ n aː ʕ
مسيح	m a s iː ħ
ثيوقراطي	θ i j uː q r aː tˤ i j j
قالب	q aː l a b
مسلسل	m u s a l s a l
دفتر	d a f t a r
يعقوب	j a ʕ q uː b
فاتية	f aː t i j a
توضح	t a w a dˤ dˤ a ħ a
نزلة	n a z l a
أنزع	ʔ a n z a ʕ a
شاهد	ʃ aː h a d a
اشترى	i ʃ t a r aː
صاع	sˤ aː ʕ
بعلة	b a ʕ l a
سقيفة	s a q iː f a
محب	m u ħ a b b
انتظم	i n t a ðˤ a m a
بسبب	b i s a b a b i
ماثل	m aː θ a l a
ثانوي	θ aː n a w i
إجاص	ʔ i d͡ʒ d͡ʒ aː sˤ
هواء	h a w aː ʔ
لهجة	l a h d͡ʒ a
صيدلي	sˤ a j d a l i j j
إبراهيم	ʔ i b r aː h iː m
شماس	ʃ a m m aː s
تعصر	t a ʕ a sˤ sˤ a r a
ناصور	n aː sˤ uː r
رضة	r a dˤ dˤ a
نصراني	n a sˤ r aː n i j j
لله	l i l l aː h
فرغ	f a r a ɣ a
غالب	ɣ aː l i b
بقبق	b a q b a q a
كارة	k aː r a
ميزان	m iː z aː n
خلاط	x i l aː tˤ
نون	n a w w a n a
نظير	n a ðˤ iː r
سلاح	s i l aː ħ
عربية	ʕ a r a b i j j a
تخلص	t a x a l l a sˤ a
بندر	b a n d a r
عادات	ʕ aː d aː t
شعر	ʃ a ʕ a r
سفينة	s a f iː n a
أسطرلاب	ʔ a s tˤ u r l aː b
الصربية	a sˤ sˤ i r b i j j a
