изигран	i z i ɡ r a n
продуценти	p r ɔ d u t͡s e n t i
дочитан	d ɔ t͡ʃ i t a n
охрабрување	ɔ x r a b r u v a ɲ e
заслепувачки	z a s l e p u v a t͡ʃ k i
солена	s ɔ l e n a
непрепречен	n e p r e p r e t͡ʃ e n
ресор	r e s ɔ r
разруши	r a z r u ʃ i
недавање	n e d a v a ɲ e
термодинамички	t e r m ɔ d i n a m i t͡ʃ k i
рангирање	r a ŋ ɡ i ɾ a ɲ e
опатица	ɔ p a t i t͡s a
арубиски	a r u b i s k i
брадиче	b r a d i t͡ʃ e
родовит	r ɔ d ɔ v i t
дошепнуван	d ɔ ʃ e p n u v a n
џудо	d͡ʒ u d ɔ
милување	m i ɫ u v a ɲ e
фактури	f a k t u ɾ a
кореографски	k ɔ ɾ e ɔ ɡ r a f s k i
родовник	r ɔ d ɔ v n i k
довиткување	d ɔ v i t k u v a ɲ e
пречкртување	p r e t͡ʃ k r̩ t u v a ɲ e
синџирче	s i n d͡ʒ i r t͡ʃ e
фенирање	f e n i ɾ a ɲ e
монтажен	m ɔ n t a ʒ e n
ксенофобично	k s e n ɔ f ɔ b i t͡ʃ n ɔ
зашеметеност	z a ʃ e m e t e n ɔ s t
криминолог	k r i m i n ɔ ɫ ɔ k
чизбургер	t͡ʃ i z b u r ɡ e r
калкулира	k a ɫ k u l i ɾ a
стандардизиран	s t a n d a r d i z i ɾ a n
непрекажан	n e p r e k a ʒ a n
породилно	p ɔ r ɔ d i ɫ n ɔ
нуспроизвод	n u s p r ɔ i z v ɔ t
трореден	t r ɔ ɾ e d e n
рекетиран	r e k e t i ɾ a n
ракопис	r a k ɔ p i s
одвлекува	ɔ d v l e k u v a
зол	z ɔ ɫ
сенце	s e n t͡s e
отсуство	ɔ t s u s t v ɔ
поништен	p ɔ n i ʃ t e n
некриминализирање	n e k r i m i n a l i z i ɾ a ɲ e
нагласува	n a ɡ ɫ a s u v a
изнуден	i z n u d e n
брава	b r a v a
славољубивост	s ɫ a v ɔ ʎ u b i v ɔ s t
коскен	k ɔ s k e n
обичаи	ɔ b i t͡ʃ a i
камилица	k a m i l i t͡s a
противвоспалителен	p r ɔ t i v v ɔ s p a l i t e l e n
забарски	z a b a r s k i
дрнка	d r̩ ŋ k a
плускав	p ɫ u s k a f
рачуле	r a t͡ʃ u l e
харковски	x a r k ɔ f s k i
ненаситно	n e n a s i t n ɔ
спојува	s p ɔ j u v a
серолошки	s e r ɔ ɫ ɔ ʃ k i
произведе	p r ɔ i z v e d e
нададе	n a d a d e
циник	t͡s i n i k
здивне	z d i v n e
девет	d e v e t
бекнува	b e k n u v a
бессончев	b e s s ɔ n t͡ʃ e f
изразување	i z r a z u v a ɲ e
налепници	n a l e p n i t͡s i
ет	e t
тиња	t i ɲ a
кружно	k r u ʒ n ɔ
граничење	ɡ r a n i t͡ʃ e ɲ e
избројан	i z b r ɔ j a n
слезе	s l e z e
распуштено	r a s p u ʃ t e n ɔ
гурабии	ɡ u r a b i i
чачкање	t͡ʃ a t͡ʃ k a ɲ e
владар	v ɫ a d a r
добрка	d ɔ b r̩ k a
времиња	v r e m i ɲ a
утрапува	u t r a p u v a
прилошки	p r i ɫ ɔ ʃ k i
конзистентен	k ɔ n z i s t e n t e n
водоземен	v ɔ d ɔ z e m e n
орјатка	ɔ r j a t k a
нокширче	n ɔ k ʃ i r t͡ʃ e
неусогласено	n e u s ɔ ɡ ɫ a s e n ɔ
матеа	m a t e a
бирање	b i ɾ a ɲ e
необјаснување	n e ɔ b j a s n u v a ɲ e
курвање	k u r v a ɲ e
сјај	s j a j
конгоанец	k ɔ ŋ ɡ ɔ a n e t͡s
ригански	r i ɡ a n s k i
штурмовик	ʃ t u r m ɔ v i k
легално	l e ɡ a ɫ n ɔ
зарѓави	z a r̩ ɟ a v i
столици	s t ɔ l i t͡s i
џавкајќи	d͡ʒ a f k a j c i
велипеток	v e l i p e t ɔ k
шашлив	ʃ a ʃ l i f
ободрувачки	ɔ b ɔ d r u v a t͡ʃ k i
шура	ʃ u ɾ a
урниса	u r n i s a
ас	a s
непоминат	n e p ɔ m i n a t
шпиун	ʃ p i j u n
калабриски	k a ɫ a b r i s k i
