زمین‌شناسی	z a m i n ʃ i n ɑː s iː
دانشکده	d ɑː n i ʃ k a d a
هیس	s
جرم	d͡ʒ e ɾ m
سرپوش	s a ɾ p oː ʃ
خاطب	x ɑː t i b
دلیل	d a l i l
فهماندن	f a h m ɑː n d a n
درآمد	d a ɾ ɑː m a d
مازوج	m ɑː z uː d͡ʒ
باسن	b ɑː s a n
تقریباً	t a ɢ ɾ i b a n
شیردال	ʃ e ɾ d ɑː l
خواندن	x ɑː n d a n
گلو	ɡ a l oː
دگرجنس‌گرا	d e ɡ a ɾ d͡ʒ e n s ɡ a ɾ ɑː
ژوپیتر	ʒ u p i t e ɾ
شغل	ʃ o ɢ l
مفرط	m o f ɾ e t
آکندن	ʔ ɑː k a n d a n
ازدواج	e z d e v ɑː d͡ʒ
معمار	m e ʔ m ɑː ɾ
مرند	m a ɾ a n d
راستگو	ɾ ɑː s t ɡ uː
حمام	h a m m ɑː m
کتاب	k e t ɑː b
اعضا	a ʔ z ɑː
مشعل	m a ʃ ʔ a l
پیچیدن	p e t͡ʃ i d a
عربستان	a ɾ a b i s t ɑː n
حیوان	h a j v ɑː n
خطا	x a t ɑː
پرسیدن	p o ɾ s iː d a n
برادر	b a ɾ ɑː d a ɾ
رفتار	ɾ a f t ɑː ɾ
شور	ʃ oː ɾ
بوی	b oː j
بی‌معنی	b e m a ʔ n iː
شعر	ʃ e ʔ ɾ
چطور	t͡ʃ e t o v ɾ
آلمان	ɑː l m ɑː n
زیرک	z i ɾ a k
سطح	s a t h
بنیادگرا	b o n j ɑː d ɡ a ɾ ɑː
رأی	ɾ a ʔ j
مرمی	m a r m iː
سوسمار	s uː s m ɑː r
مهرداد	m e h ɾ d ɑː d
دیروز	d i ɾ s z
غافت	ɢ ɑː f e t
هشت	h a ʃ t
پاکستانی	p ɑː k i s t ɑː n iː
ذهن	z e h n
باردار	b ɑː ɾ d ɑː ɾ
خواهر	x ɑː h a ɾ
بهشت	b e h e ʃ t
نیک	n e k
توجه	t a v a d d͡ʒ s h
رباعی	ɾ o b ɑː ʔ iː
فهرست	f e h ɾ e s t
چنبره	t͡ʃ a m b a ɾ a
تهیه	t a h i j j a
قاچاق	ɢ ɑː t͡ʃ ɑː ɢ
قاموس	ɢ ɑː m uː s
یزد	j a z d
دراییدن	d a ɾ ɑː j iː d a n
اتم‌ها	a t o m h ɑː
باغ	b ɑː ɢ
شایعه	ʃ ɑː j i ʔ a
بشکه	b o ʃ k e
کس	k a s
بختر	b e x t a ɾ
فاخره	f ɑː x i ɾ a
قزوین	ɢ a z v i n
اصیل	a s i l
فاک	f ɑː k
چو	t ʃ o v
آنجا	ɑː n d͡ʒ ɑː
شعب	ʃ o ʔ a b
نفت	n a f t
آهنگ	ɑː h a n ɡ
چاشنی	t ʃ ɑː ʃ n iː
سلجوق	s a l d͡ʒ u ɢ
تاکنون	t ɑː k u n uː n
تاریخ	t ɑː ɾ iː x
بز	b o z
صورتی	s uː ɾ a t iː
هی	h e j
ترشی	t o ɾ ʃ iː
کره	k a ɾ a
نزدیک‌ترین	n a z d iː k t a ɾ iː n
مظهر	m a z h a ɾ
دفاع	d e f ɑː ʔ
ارتش	a ɾ t i ʃ
سلیمان	s o l e j m ɑː n
متخلف	m o t a x a l l e f
اجازه	e d͡ʒ ɑː z e
پوشیدن	p oː ʃ iː d a n
بژ	b e ʒ
سیاره‌ها	s a j ɑː ɾ e h ɑː
گاه	ɡ ɑː h
مجلس	m a d͡ʒ l i s
