دار	d ɑ r
سلفراسید	s ʊ l f r ɑ s i d
تاوتریخجنټکونه	t ɑ w t r i x d͡ʒ n ʈ k o n ə
ځانه	ʐ ɑ n a
کیږی	k iː ʒ iː
ابن	ɑ b n
لېونی	l e w a n a i
ډریور	ɖ r ɪ j ə r
بدنروغ	b ə d n r o ɣ
ټولد	ʈ o l d
وساتی	w s a t i
غنمو	ɣ n ə m o
بوډا	b o ɖ ɑ
پخوراکي	p x o r ɑ k i
کړي	k ə ɽ i
اوسسطل	ɑ w s s t l
جګړن	d͡ʒ ə ɡ ɺ ˞ ə n
برابر	b a r ɑ b a r
کڅوړوبارکول	k ʈʂ ʊ ɽ ʊ b ɑ r k ʊ l
پوهیدم	p w h i d m
طبیعت	t̪ ə b iː ʕ ə t̪
میلیونو	m i l i w o n w o
تیږو	t i ʐ u
کړو	k ɽ u
سلطنت	s ə l t ə n ə t
غوول	ɣ o w ə l
ښکار	x k ɑ r
قه	q ə
ځېل	d͡z e l
ډولهمېږيان	ɖ o l ə m ʐ i ɑ n
سترګه	s t̪ ə r ɡ a
کالنی	k ɑ l a n a i
لورده	l o r d ə
مرغان	m ə r ɣ ɑ n
غلا	ɣ l ɑ
قومن	q o m n
ټنډه	ʈ ə n ɖ a
خوه	x w ə h
اوبوته	o b o t ə
ککړ	k k ɻ
داد	d ɑ d
ناوړه	n ɑ w ɽ a
همت	h ə m t
ګورم	ɡ o r ə m
سندرې	s ʊ n d r ə i
واخلئ	w ɑ x l ə
ډولو	ɖ o l o
نجونې	n d͡ʒ o u n e
ټبر	ʈ a b a r
ولسوالۍ	w ə l ə s w ɑ l ə i
سخت	s x t
کسوویلزه	k s o w i l z ə
اوسیده	ɑ o s i d a
شکلو	ʃ k l o
تمرین	t̪ ə m ɾ iː n
تښتید	t ʂ t i d
خل	x ə l
ښارونه	x ɑ r o n a
لوړل	l o ɽ ə l
چوپړ	t͡ʃ o p ə ɻ
نوم	n o m
تادل	t aː d l
بسکړل	b s k ɽ l
خويندو	x w i n d o
پوهاند	p o h ɑ n d
سیندونو	s i n d o n o
خبرد	x b r d
خولی	x o l i
زاڼه	z ɑ ɳ a
خوخرغمجن	x w x r ɣ m ʤ n
پراخې	p r ɑ x e
نوکغوڅی	n u k ɣ w ə t͡s a i
غپل	ɣ a p ə l
بندې	b n d e
استراحتسره	a s t r a h t s r h
نهو	n ɛ h o
کیلومتره	k i l o m t̪ r e
لامل	l ɑ m ə l
خوښۍ	x o ʂ ə i
ډیرو	ɖ i r ʊ
کتل	k a t ə l
بېرته	b e r t a
اسټراليا	a s ʈ r ɑ l j ɑ
واورېد	w a w r e d
زړه	z ɻ ə
پراختیا	p r ɑː x t iː ɑː
فرانسه	p r ɑ n s a
بیا۵	b i ɑ 5
دښته	d x t h
برېت	b r e t̪
روانه	ɾ w a n h a
رامين	r ɑ m i n
سپره	s p ə r a
ویې	w iː e
مهربانه	m a h r b ɑ n a
دروغوويلو	d r o ɣ o w i l o
ننوست	n n o s t
ورشي	w ə r ʃ i
ګيټۍ	ɡ i ʈ ə i
توتي	t̪ u t̪ i
مړې	m ə ɽ e
ويلواه	w i l w ɑ h
ډالره	ɖ ɑ l ə ɾ ə
خپور	x ə p o r
زهر	z ə h r
دېو	d̪ e o
تون	t̪ u n
ډنډ	ɖ a n ɖ
ځنګلونو	ʣ ə ŋ g l w n w
بندي	b ə n d̪ i
فرانسوي	f ə r ɑ n s ə w i
لاړو	l ɑ r ʊ
زامنر	z ɑ m n r
ډیرو	ɖ iː r oː
شالي	ʃ ɑ l i
مخره	m x r ə
زیانونو	z i ɑ n o n o
غوبه	ɣ o b a
بند	b ə n d̪
نمرکزونو	n m r k z o n o
کب	k a b
دېګلی	d̪ e ɡ l a ɪ
رت	r ə t
استاد	ɑː s t ɑː d
جګ	d͡ʒ ɪ ɡ
پرېکړه	p r e k ɻ a
پاکوونکو	p ɑ k o w n k o
سبزیو	s b z i w o
