сексуалан	s ê k s u aː l a n
uspavati	u s p ǎː ʋ a t i
vječan	ʋ j ê t͡ʃ a n
була	b û l a
литоралан	l î t o r aː l a n
silaziti	s ǐ l a z i t i
одмалена	o d m a l ě n a
бугарштица	b u ɡ ǎ r ʃ t i t͡s a
plavičast	p l ǎ ʋ i t͡ʃ a s t
anarhistički	a n a r x ǐ s t i t ʃ k iː
ramazan	r a m ǎ z aː n
karmelićanin	k a r m e l ǐː t͡ɕ a n i n
veroispoved	ʋ e r o ǐ s p o ʋ eː d
премијер	p r e m ǐ j eː r
солидаран	s ô l i d aː r a n
več	ˈʋ ɛ t ʃ
момче	m ǒ m t͡ʃ e
снисходљив	s n i s x ǒ d ʎ i ʋ
neopoziv	n e o p ǒ z i ʋ
osmica	ǒ s m i t͡s a
астматичар	a s t m ǎ t i t͡ʃ aː r
nadimati	n ǎ d i m a t i
скровиште	s k r ô ʋ iː ʃ t e
češati	t͡ʃ ě ʃ a t i
improvizator	i m p r o ʋ ǐ z aː t o r
redovit	r e d ǒ ʋ i t
нисмо	n ǐː s m o
Кошчанин	k ǒ ʃ t͡ʃ a n i n
прерачунавати	p r e r a t͡ʃ u n ǎː ʋ a t i
sitničav	s ǐ t n i t͡ʃ a ʋ
криводолски	k r i ʋ ǒ d o l s k iː
sastaviti	s ǎ s t a ʋ i t i
ловоров	l ô ʋ o r o ʋ
glibovit	ɡ l i b ǒ ʋ i t
тромесечје	t r ǒ m e s eː t͡ʃ j e
привид	p r ǐː ʋ i d
одштета	ô d ʃ t e t a
šmugler	ʃ m û ɡ l e r
smotriti	s m ǒ t r i t i
tabela	t a b ě l a
дознати	d ǒ z n a t i
presvući	p r ě s ʋ uː t͡ɕ i
hram	x r âː m
продаја	p r ô d a j a
garant	ɡ ǎ r a n t
tutorstvo	t ûː t oː r s t ʋ o
богорадити	b o ɡ o r ǎː d i t i
ihtiologija	i x t i o l ǒ ɡ i j a
treba	t r ěː b a
nesit	n ê s i t
bajoneta	b a j o n ěː t a
довести	d ǒ ʋ e s t i
vjeroispovijest	ʋ j e r o ǐ s p o ʋ j eː s t
analfabetizam	a n a l f a b e t ǐ z a m
шлагворт	ʃ l ǎ ɡ ʋ o r t
katoličanstvo	k a t o l i t͡ʃ ǎː n s t ʋ o
č	t͡ʃ
importirati	i m p o r t ǐː r a t i
недра	n ê d r a
финџан	f ǐ n d͡ʒ aː n
bajramovati	b ǎ j r a m o ʋ a t i
smisao	s m îː s a o
čednost	t͡ʃ ê d n oː s t
petao	p ěː t a o
f	f
štrajfati	ʃ t r â j f a t i
повремено	p ǒ ʋ r e m e n o
ćup	t͡ɕ û p
golišavost	ɡ o l ǐ ʃ a ʋ oː s t
здравље	z d r âː ʋ ʎ e
implikacija	i m p l i k ǎː t͡s i j a
истакнути	i s t ǎ k n u t i
paša	p â ʃ a
поставити	p ǒ s t a ʋ i t i
tehničar	t ě x n i t͡ʃ aː r
plitko	p l îː t k o
knjižnica	k ɲ ǐː ʒ n i t͡s a
хигијеничарка	x i ɡ i j ě n i t͡ʃ aː r k a
оживјети	o ʒ ǐː ʋ j e t i
интуиција	i n t u ǐː t͡s i j a
sažeti	s ǎ ʒ eː t i
metafora	m e t ǎ f o r a
začetak	z a t͡ʃ ěː t a k
ludača	l ǔ d a t͡ʃ a
кратковидност	k r a t k o ʋ ǐː d n oː s t
агресорски	ǎ ɡ r e s o r s k iː
